Date,GT2_Hits
2006-12-03,37
2006-12-10,47
2006-12-17,51
2006-12-24,30
2006-12-31,41
2007-01-07,59
2007-01-14,50
2007-01-21,39
2007-01-28,44
2007-02-04,41
2007-02-11,43
2007-02-18,43
2007-02-25,41
2007-03-04,57
2007-03-11,64
2007-03-18,54
2007-03-25,59
2007-04-01,38
2007-04-08,34
2007-04-15,40
2007-04-22,40
2007-04-29,41
2007-05-06,78
2007-05-13,78
2007-05-20,60
2007-05-27,52
2007-06-03,46
2007-06-10,39
2007-06-17,96
2007-06-24,33
2007-07-01,34
2007-07-08,25
2007-07-15,34
2007-07-22,36
2007-07-29,37
2007-08-05,29
2007-08-12,27
2007-08-19,31
2007-08-26,34
2007-09-02,33
2007-09-09,39
2007-09-16,42
2007-09-23,47
2007-09-30,34
2007-10-07,39
2007-10-14,39
2007-10-21,39
2007-10-28,37
2007-11-04,29
2007-11-11,33
2007-11-18,26
2007-11-25,29
2007-12-02,40
2007-12-09,49
2007-12-16,36
2007-12-23,16
2007-12-30,24
2008-01-06,30
2008-01-13,33
2008-01-20,35
2008-01-27,34
2008-02-03,34
2008-02-10,30
2008-02-17,36
2008-02-24,39
2008-03-02,29
2008-03-09,38
2008-03-16,36
2008-03-23,41
2008-03-30,41
2008-04-06,42
2008-04-13,32
2008-04-20,27
2008-04-27,38
2008-05-04,28
2008-05-11,36
2008-05-18,43
2008-05-25,42
2008-06-01,33
2008-06-08,32
2008-06-15,25
2008-06-22,18
2008-06-29,37
2008-07-06,25
2008-07-13,19
2008-07-20,17
2008-07-27,14
2008-08-03,26
2008-08-10,11
2008-08-17,20
2008-08-24,18
2008-08-31,29
2008-09-07,25
2008-09-14,37
2008-09-21,29
2008-09-28,19
2008-10-05,21
2008-10-12,23
2008-10-19,21
2008-10-26,19
2008-11-02,20
2008-11-09,17
2008-11-16,35
2008-11-23,24
2008-11-30,25
2008-12-07,23
2008-12-14,26
2008-12-21,15
2008-12-28,20
2009-01-04,25
2009-01-11,27
2009-01-18,24
2009-01-25,30
2009-02-01,23
2009-02-08,27
2009-02-15,28
2009-02-22,29
2009-03-01,29
2009-03-08,27
2009-03-15,23
2009-03-22,23
2009-03-29,23
2009-04-05,23
2009-04-12,18
2009-04-19,25
2009-04-26,19
2009-05-03,25
2009-05-10,31
2009-05-17,27
2009-05-24,27
2009-05-31,23
2009-06-07,34
2009-06-14,27
2009-06-21,36
2009-06-28,22
2009-07-05,15
2009-07-12,18
2009-07-19,20
2009-07-26,9
2009-08-02,13
2009-08-09,9
2009-08-16,16
2009-08-23,13
2009-08-30,15
2009-09-06,19
2009-09-13,62
2009-09-20,33
2009-09-27,22
2009-10-04,21
2009-10-11,18
2009-10-18,16
2009-10-25,12
2009-11-01,18
2009-11-08,16
2009-11-15,36
2009-11-22,22
2009-11-29,21
2009-12-06,18
2009-12-13,20
2009-12-20,13
2009-12-27,13
2010-01-03,15
2010-01-10,15
2010-01-17,14
2010-01-24,18
2010-01-31,14
2010-02-07,14
2010-02-14,14
2010-02-21,19
2010-02-28,15
2010-03-07,22
2010-03-14,17
2010-03-21,18
2010-03-28,15
2010-04-04,14
2010-04-11,20
2010-04-18,22
2010-04-25,15
2010-05-02,17
2010-05-09,21
2010-05-16,23
2010-05-23,29
2010-05-30,15
2010-06-06,18
2010-06-13,17
2010-06-20,10
2010-06-27,17
2010-07-04,13
2010-07-11,11
2010-07-18,9
2010-07-25,11
2010-08-01,8
2010-08-08,12
2010-08-15,10
2010-08-22,10
2010-08-29,10
2010-09-05,16
2010-09-12,12
2010-09-19,14
2010-09-26,17
2010-10-03,22
2010-10-10,23
2010-10-17,32
2010-10-24,36
2010-10-31,50
2010-11-07,38
2010-11-14,100
2010-11-21,26
2010-11-28,14
2010-12-05,23
2010-12-12,17
2010-12-19,14
2010-12-26,10
