"Label";"Monthly consumer confidence survey - Summary indicator of households' confidence (first factor among the opinion survey balances) - SA data";"Codes"
"idBank";"001587668";""
"Last update";"27/10/2023 08:45";""
"Period";"";""
"2006-01";"97";"A"
"2006-02";"99";"A"
"2006-03";"98";"A"
"2006-04";"97";"A"
"2006-05";"96";"A"
"2006-06";"97";"A"
"2006-07";"99";"A"
"2006-08";"98";"A"
"2006-09";"100";"A"
"2006-10";"100";"A"
"2006-11";"99";"A"
"2006-12";"99";"A"
"2007-01";"100";"A"
"2007-02";"100";"A"
"2007-03";"101";"A"
"2007-04";"102";"A"
"2007-05";"108";"A"
"2007-06";"109";"A"
"2007-07";"107";"A"
"2007-08";"104";"A"
"2007-09";"101";"A"
"2007-10";"100";"A"
"2007-11";"95";"A"
"2007-12";"94";"A"
"2008-01";"90";"A"
"2008-02";"90";"A"
"2008-03";"89";"A"
"2008-04";"89";"A"
"2008-05";"86";"A"
"2008-06";"82";"A"
"2008-07";"82";"A"
"2008-08";"82";"A"
"2008-09";"84";"A"
"2008-10";"82";"A"
"2008-11";"83";"A"
"2008-12";"83";"A"
"2009-01";"84";"A"
"2009-02";"84";"A"
"2009-03";"84";"A"
"2009-04";"86";"A"
"2009-05";"87";"A"
"2009-06";"89";"A"
"2009-07";"89";"A"
"2009-08";"89";"A"
"2009-09";"90";"A"
"2009-10";"91";"A"
"2009-11";"94";"A"
"2009-12";"94";"A"
"2010-01";"95";"A"
"2010-02";"92";"A"
"2010-03";"91";"A"
"2010-04";"89";"A"
"2010-05";"88";"A"
"2010-06";"87";"A"
"2010-07";"87";"A"
"2010-08";"90";"A"
"2010-09";"91";"A"
"2010-10";"92";"A"
"2010-11";"94";"A"
"2010-12";"91";"A"
