DATE,CP0450FRM086NEST
2006-01-01,70.63
2006-02-01,70.88
2006-03-01,71.11
2006-04-01,73.06
2006-05-01,73.73
2006-06-01,73.51
2006-07-01,73.58
2006-08-01,74.05
2006-09-01,73.71
2006-10-01,73.60
2006-11-01,73.39
2006-12-01,73.35
2007-01-01,72.71
2007-02-01,72.89
2007-03-01,73.09
2007-04-01,73.63
2007-05-01,73.09
2007-06-01,73.29
2007-07-01,73.57
2007-08-01,73.78
2007-09-01,74.35
2007-10-01,75.46
2007-11-01,77.68
2007-12-01,77.82
2008-01-01,78.62
2008-02-01,78.60
2008-03-01,79.66
2008-04-01,80.17
2008-05-01,82.13
2008-06-01,83.56
2008-07-01,83.73
2008-08-01,82.92
2008-09-01,83.22
2008-10-01,83.26
2008-11-01,81.34
2008-12-01,79.28
2009-01-01,78.97
2009-02-01,78.69
2009-03-01,77.35
2009-04-01,75.63
2009-05-01,74.36
2009-06-01,75.23
2009-07-01,74.99
2009-08-01,75.85
2009-09-01,75.94
2009-10-01,77.16
2009-11-01,77.77
2009-12-01,77.82
2010-01-01,78.76
2010-02-01,78.70
2010-03-01,79.35
2010-04-01,81.68
2010-05-01,80.94
2010-06-01,80.74
2010-07-01,81.37
2010-08-01,81.85
2010-09-01,82.59
2010-10-01,84.38
2010-11-01,84.54
2010-12-01,85.49
