Week,ampoules basse consommation: (France)
12/3/06,0
12/10/06,30
12/17/06,0
12/24/06,45
12/31/06,0
1/7/07,0
1/14/07,0
1/21/07,0
1/28/07,29
2/4/07,0
2/11/07,0
2/18/07,0
2/25/07,0
3/4/07,0
3/11/07,0
3/18/07,0
3/25/07,74
4/1/07,33
4/8/07,0
4/15/07,0
4/22/07,0
4/29/07,0
5/6/07,0
5/13/07,0
5/20/07,0
5/27/07,76
6/3/07,0
6/10/07,24
6/17/07,0
6/24/07,0
7/1/07,0
7/8/07,0
7/15/07,0
7/22/07,0
7/29/07,0
8/5/07,0
8/12/07,0
8/19/07,0
8/26/07,0
9/2/07,0
9/9/07,46
9/16/07,22
9/23/07,38
9/30/07,0
10/7/07,0
10/14/07,0
10/21/07,76
10/28/07,37
11/4/07,49
11/11/07,0
11/18/07,91
11/25/07,25
12/2/07,68
12/9/07,38
12/16/07,0
12/23/07,0
12/30/07,72
1/6/08,16
1/13/08,18
1/20/08,0
1/27/08,31
2/3/08,0
2/10/08,57
2/17/08,0
2/24/08,24
3/2/08,33
3/9/08,0
3/16/08,16
3/23/08,42
3/30/08,0
4/6/08,33
4/13/08,19
4/20/08,71
4/27/08,0
5/4/08,0
5/11/08,16
5/18/08,89
5/25/08,0
6/1/08,18
6/8/08,60
6/15/08,0
6/22/08,0
6/29/08,0
7/6/08,0
7/13/08,0
7/20/08,0
7/27/08,69
8/3/08,0
8/10/08,0
8/17/08,0
8/24/08,34
8/31/08,30
9/7/08,0
9/14/08,26
9/21/08,16
9/28/08,28
10/5/08,0
10/12/08,48
10/19/08,83
10/26/08,51
11/2/08,45
11/9/08,51
11/16/08,33
11/23/08,50
11/30/08,0
12/7/08,51
12/14/08,21
12/21/08,0
12/28/08,37
1/4/09,42
1/11/09,58
1/18/09,49
1/25/09,29
2/1/09,13
2/8/09,27
2/15/09,22
2/22/09,33
3/1/09,33
3/8/09,25
3/15/09,26
3/22/09,28
3/29/09,76
4/5/09,0
4/12/09,39
4/19/09,0
4/26/09,14
5/3/09,0
5/10/09,55
5/17/09,64
5/24/09,85
5/31/09,61
6/7/09,51
6/14/09,47
6/21/09,38
6/28/09,84
7/5/09,52
7/12/09,55
7/19/09,16
7/26/09,59
8/2/09,0
8/9/09,42
8/16/09,19
8/23/09,55
8/30/09,70
9/6/09,34
9/13/09,82
9/20/09,35
9/27/09,80
10/4/09,37
10/11/09,37
10/18/09,36
10/25/09,66
11/1/09,39
11/8/09,50
11/15/09,19
11/22/09,40
11/29/09,79
12/6/09,41
12/13/09,90
12/20/09,34
12/27/09,44
1/3/10,19
1/10/10,30
1/17/10,52
1/24/10,71
1/31/10,23
2/7/10,52
2/14/10,27
2/21/10,50
2/28/10,21
3/7/10,39
3/14/10,28
3/21/10,21
3/28/10,52
4/4/10,21
4/11/10,28
4/18/10,0
4/25/10,23
5/2/10,22
5/9/10,13
5/16/10,18
5/23/10,39
5/30/10,0
6/6/10,0
6/13/10,0
6/20/10,100
6/27/10,42
7/4/10,22
7/11/10,28
7/18/10,0
7/25/10,13
8/1/10,0
8/8/10,0
8/15/10,33
8/22/10,28
8/29/10,35
9/5/10,33
9/12/10,44
9/19/10,19
9/26/10,33
10/3/10,13
10/10/10,11
10/17/10,50
10/24/10,13
10/31/10,41
11/7/10,32
11/14/10,40
11/21/10,56
11/28/10,12
