Week,Jean-Louis Borloo: (France)
12/3/06,37
12/10/06,47
12/17/06,51
12/24/06,30
12/31/06,41
1/7/07,59
1/14/07,50
1/21/07,39
1/28/07,44
2/4/07,41
2/11/07,43
2/18/07,43
2/25/07,41
3/4/07,57
3/11/07,64
3/18/07,54
3/25/07,59
4/1/07,38
4/8/07,34
4/15/07,40
4/22/07,40
4/29/07,41
5/6/07,78
5/13/07,78
5/20/07,60
5/27/07,52
6/3/07,46
6/10/07,39
6/17/07,96
6/24/07,33
7/1/07,34
7/8/07,25
7/15/07,34
7/22/07,36
7/29/07,37
8/5/07,29
8/12/07,27
8/19/07,31
8/26/07,34
9/2/07,33
9/9/07,39
9/16/07,42
9/23/07,47
9/30/07,34
10/7/07,39
10/14/07,39
10/21/07,39
10/28/07,37
11/4/07,29
11/11/07,33
11/18/07,26
11/25/07,29
12/2/07,40
12/9/07,49
12/16/07,36
12/23/07,16
12/30/07,24
1/6/08,30
1/13/08,33
1/20/08,35
1/27/08,34
2/3/08,34
2/10/08,30
2/17/08,36
2/24/08,39
3/2/08,29
3/9/08,38
3/16/08,36
3/23/08,41
3/30/08,41
4/6/08,42
4/13/08,32
4/20/08,27
4/27/08,38
5/4/08,28
5/11/08,36
5/18/08,43
5/25/08,42
6/1/08,33
6/8/08,32
6/15/08,25
6/22/08,18
6/29/08,37
7/6/08,25
7/13/08,19
7/20/08,17
7/27/08,14
8/3/08,26
8/10/08,11
8/17/08,20
8/24/08,18
8/31/08,29
9/7/08,25
9/14/08,37
9/21/08,29
9/28/08,19
10/5/08,21
10/12/08,23
10/19/08,21
10/26/08,19
11/2/08,20
11/9/08,17
11/16/08,35
11/23/08,24
11/30/08,25
12/7/08,23
12/14/08,26
12/21/08,15
12/28/08,20
1/4/09,25
1/11/09,27
1/18/09,24
1/25/09,30
2/1/09,23
2/8/09,27
2/15/09,28
2/22/09,29
3/1/09,29
3/8/09,27
3/15/09,23
3/22/09,23
3/29/09,23
4/5/09,23
4/12/09,18
4/19/09,25
4/26/09,19
5/3/09,25
5/10/09,31
5/17/09,27
5/24/09,27
5/31/09,23
6/7/09,34
6/14/09,27
6/21/09,36
6/28/09,22
7/5/09,15
7/12/09,18
7/19/09,20
7/26/09,9
8/2/09,13
8/9/09,9
8/16/09,16
8/23/09,13
8/30/09,15
9/6/09,19
9/13/09,62
9/20/09,33
9/27/09,22
10/4/09,21
10/11/09,18
10/18/09,16
10/25/09,12
11/1/09,18
11/8/09,16
11/15/09,36
11/22/09,22
11/29/09,21
12/6/09,18
12/13/09,20
12/20/09,13
12/27/09,13
1/3/10,15
1/10/10,15
1/17/10,14
1/24/10,18
1/31/10,14
2/7/10,14
2/14/10,14
2/21/10,19
2/28/10,15
3/7/10,22
3/14/10,17
3/21/10,18
3/28/10,15
4/4/10,14
4/11/10,20
4/18/10,22
4/25/10,15
5/2/10,17
5/9/10,21
5/16/10,23
5/23/10,29
5/30/10,15
6/6/10,18
6/13/10,17
6/20/10,10
6/27/10,17
7/4/10,13
7/11/10,11
7/18/10,9
7/25/10,11
8/1/10,8
8/8/10,12
8/15/10,10
8/22/10,10
8/29/10,10
9/5/10,16
9/12/10,12
9/19/10,14
9/26/10,17
10/3/10,22
10/10/10,23
10/17/10,32
10/24/10,36
10/31/10,50
11/7/10,38
11/14/10,100
11/21/10,26
11/28/10,14
12/5/10,23
12/12/10,17
12/19/10,14
12/26/10,10
