Week,ampoule basse consommation: (France)
1/7/07,21
1/14/07,0
1/21/07,0
1/28/07,0
2/4/07,15
2/11/07,0
2/18/07,24
2/25/07,16
3/4/07,32
3/11/07,0
3/18/07,0
3/25/07,23
4/1/07,0
4/8/07,0
4/15/07,0
4/22/07,25
4/29/07,0
5/6/07,0
5/13/07,0
5/20/07,0
5/27/07,43
6/3/07,15
6/10/07,14
6/17/07,0
6/24/07,0
7/1/07,14
7/8/07,16
7/15/07,38
7/22/07,0
7/29/07,0
8/5/07,0
8/12/07,0
8/19/07,0
8/26/07,0
9/2/07,0
9/9/07,13
9/16/07,18
9/23/07,0
9/30/07,33
10/7/07,0
10/14/07,31
10/21/07,46
10/28/07,27
11/4/07,71
11/11/07,100
11/18/07,19
11/25/07,62
12/2/07,44
12/9/07,18
12/16/07,0
12/23/07,0
12/30/07,35
1/6/08,11
1/13/08,15
1/20/08,18
1/27/08,37
2/3/08,14
2/10/08,18
2/17/08,25
2/24/08,0
3/2/08,20
3/9/08,27
3/16/08,0
3/23/08,36
3/30/08,35
4/6/08,13
4/13/08,29
4/20/08,14
4/27/08,12
5/4/08,0
5/11/08,0
5/18/08,0
5/25/08,21
6/1/08,0
6/8/08,0
6/15/08,0
6/22/08,0
6/29/08,0
7/6/08,0
7/13/08,39
7/20/08,22
7/27/08,15
8/3/08,16
8/10/08,20
8/17/08,0
8/24/08,16
8/31/08,29
9/7/08,16
9/14/08,73
9/21/08,46
9/28/08,44
10/5/08,24
10/12/08,28
10/19/08,28
10/26/08,53
11/2/08,62
11/9/08,55
11/16/08,23
11/23/08,79
11/30/08,30
12/7/08,72
12/14/08,57
12/21/08,56
12/28/08,50
1/4/09,66
1/11/09,37
1/18/09,48
1/25/09,47
2/1/09,52
2/8/09,30
2/15/09,36
2/22/09,23
3/1/09,40
3/8/09,32
3/15/09,16
3/22/09,40
3/29/09,48
4/5/09,20
4/12/09,0
4/19/09,59
4/26/09,22
5/3/09,27
5/10/09,70
5/17/09,58
5/24/09,87
5/31/09,58
6/7/09,82
6/14/09,24
6/21/09,23
6/28/09,32
7/5/09,33
7/12/09,38
7/19/09,55
7/26/09,66
8/2/09,38
8/9/09,36
8/16/09,63
8/23/09,86
8/30/09,82
9/6/09,51
9/13/09,65
9/20/09,40
9/27/09,45
10/4/09,66
10/11/09,82
10/18/09,69
10/25/09,60
11/1/09,94
11/8/09,55
11/15/09,62
11/22/09,56
11/29/09,69
12/6/09,89
12/13/09,60
12/20/09,47
12/27/09,90
1/3/10,46
1/10/10,56
1/17/10,59
1/24/10,69
1/31/10,61
2/7/10,69
2/14/10,40
2/21/10,71
2/28/10,15
3/7/10,33
3/14/10,38
3/21/10,36
3/28/10,38
4/4/10,30
4/11/10,24
4/18/10,34
4/25/10,20
5/2/10,40
5/9/10,30
5/16/10,45
5/23/10,38
5/30/10,16
6/6/10,19
6/13/10,0
6/20/10,30
6/27/10,29
7/4/10,12
7/11/10,12
7/18/10,0
7/25/10,0
8/1/10,12
8/8/10,33
8/15/10,35
8/22/10,45
8/29/10,55
9/5/10,34
9/12/10,43
9/19/10,26
9/26/10,23
10/3/10,41
10/10/10,28
10/17/10,67
10/24/10,63
10/31/10,60
11/7/10,57
11/14/10,52
11/21/10,36
