Week,Grenelle: (France)
1/7/07,3
1/14/07,1
1/21/07,2
1/28/07,4
2/4/07,1
2/11/07,2
2/18/07,2
2/25/07,3
3/4/07,3
3/11/07,3
3/18/07,4
3/25/07,2
4/1/07,3
4/8/07,3
4/15/07,3
4/22/07,3
4/29/07,5
5/6/07,3
5/13/07,5
5/20/07,16
5/27/07,6
6/3/07,6
6/10/07,3
6/17/07,4
6/24/07,4
7/1/07,3
7/8/07,5
7/15/07,6
7/22/07,5
7/29/07,4
8/5/07,6
8/12/07,3
8/19/07,8
8/26/07,5
9/2/07,10
9/9/07,11
9/16/07,11
9/23/07,41
9/30/07,49
10/7/07,37
10/14/07,35
10/21/07,100
10/28/07,35
11/4/07,24
11/11/07,18
11/18/07,19
11/25/07,17
12/2/07,13
12/9/07,12
12/16/07,10
12/23/07,7
12/30/07,7
1/6/08,8
1/13/08,9
1/20/08,8
1/27/08,9
2/3/08,7
2/10/08,7
2/17/08,6
2/24/08,6
3/2/08,6
3/9/08,6
3/16/08,6
3/23/08,8
3/30/08,7
4/6/08,10
4/13/08,7
4/20/08,8
4/27/08,8
5/4/08,7
5/11/08,9
5/18/08,9
5/25/08,9
6/1/08,7
6/8/08,7
6/15/08,6
6/22/08,6
6/29/08,7
7/6/08,6
7/13/08,4
7/20/08,4
7/27/08,5
8/3/08,7
8/10/08,2
8/17/08,3
8/24/08,6
8/31/08,7
9/7/08,7
9/14/08,9
9/21/08,9
9/28/08,9
10/5/08,9
10/12/08,7
10/19/08,12
10/26/08,8
11/2/08,8
11/9/08,6
11/16/08,8
11/23/08,8
11/30/08,7
12/7/08,8
12/14/08,6
12/21/08,3
12/28/08,3
1/4/09,8
1/11/09,8
1/18/09,8
1/25/09,8
2/1/09,7
2/8/09,8
2/15/09,7
2/22/09,9
3/1/09,9
3/8/09,8
3/15/09,7
3/22/09,7
3/29/09,8
4/5/09,7
4/12/09,7
4/19/09,11
4/26/09,7
5/3/09,10
5/10/09,11
5/17/09,7
5/24/09,11
5/31/09,7
6/7/09,11
6/14/09,12
6/21/09,10
6/28/09,8
7/5/09,8
7/12/09,9
7/19/09,8
7/26/09,7
8/2/09,6
8/9/09,5
8/16/09,5
8/23/09,6
8/30/09,8
9/6/09,8
9/13/09,9
9/20/09,9
9/27/09,8
10/4/09,10
10/11/09,10
10/18/09,10
10/25/09,7
11/1/09,8
11/8/09,7
11/15/09,8
11/22/09,9
11/29/09,9
12/6/09,8
12/13/09,7
12/20/09,5
12/27/09,4
1/3/10,7
1/10/10,8
1/17/10,8
1/24/10,8
1/31/10,6
2/7/10,7
2/14/10,7
2/21/10,7
2/28/10,9
3/7/10,8
3/14/10,7
3/21/10,8
3/28/10,9
4/4/10,8
4/11/10,7
4/18/10,7
4/25/10,8
5/2/10,16
5/9/10,15
5/16/10,14
5/23/10,9
5/30/10,10
6/6/10,9
6/13/10,10
6/20/10,17
6/27/10,11
7/4/10,10
7/11/10,8
7/18/10,9
7/25/10,6
8/1/10,6
8/8/10,7
8/15/10,6
8/22/10,9
8/29/10,9
9/5/10,9
9/12/10,10
9/19/10,10
9/26/10,10
10/3/10,10
10/10/10,10
10/17/10,9
10/24/10,8
10/31/10,10
11/7/10,9
11/14/10,10
11/21/10,11
