Week,Jean-Louis Borloo: (France)
1/7/07,60
1/14/07,49
1/21/07,41
1/28/07,44
2/4/07,40
2/11/07,42
2/18/07,39
2/25/07,44
3/4/07,55
3/11/07,62
3/18/07,52
3/25/07,58
4/1/07,38
4/8/07,34
4/15/07,40
4/22/07,38
4/29/07,39
5/6/07,79
5/13/07,77
5/20/07,49
5/27/07,51
6/3/07,48
6/10/07,43
6/17/07,95
6/24/07,39
7/1/07,32
7/8/07,32
7/15/07,36
7/22/07,34
7/29/07,36
8/5/07,28
8/12/07,26
8/19/07,32
8/26/07,35
9/2/07,33
9/9/07,39
9/16/07,42
9/23/07,45
9/30/07,34
10/7/07,36
10/14/07,37
10/21/07,32
10/28/07,37
11/4/07,30
11/11/07,31
11/18/07,27
11/25/07,34
12/2/07,41
12/9/07,50
12/16/07,34
12/23/07,17
12/30/07,23
1/6/08,29
1/13/08,33
1/20/08,33
1/27/08,37
2/3/08,31
2/10/08,32
2/17/08,34
2/24/08,38
3/2/08,30
3/9/08,39
3/16/08,32
3/23/08,40
3/30/08,40
4/6/08,42
4/13/08,32
4/20/08,27
4/27/08,36
5/4/08,29
5/11/08,39
5/18/08,43
5/25/08,40
6/1/08,33
6/8/08,32
6/15/08,22
6/22/08,19
6/29/08,35
7/6/08,25
7/13/08,16
7/20/08,18
7/27/08,15
8/3/08,26
8/10/08,12
8/17/08,22
8/24/08,15
8/31/08,27
9/7/08,25
9/14/08,37
9/21/08,30
9/28/08,15
10/5/08,26
10/12/08,23
10/19/08,20
10/26/08,19
11/2/08,19
11/9/08,16
11/16/08,34
11/23/08,28
11/30/08,21
12/7/08,25
12/14/08,20
12/21/08,18
12/28/08,20
1/4/09,26
1/11/09,28
1/18/09,23
1/25/09,25
2/1/09,25
2/8/09,26
2/15/09,25
2/22/09,30
3/1/09,29
3/8/09,29
3/15/09,21
3/22/09,24
3/29/09,22
4/5/09,22
4/12/09,17
4/19/09,25
4/26/09,21
5/3/09,25
5/10/09,32
5/17/09,28
5/24/09,27
5/31/09,25
6/7/09,37
6/14/09,27
6/21/09,31
6/28/09,22
7/5/09,19
7/12/09,16
7/19/09,21
7/26/09,10
8/2/09,13
8/9/09,10
8/16/09,13
8/23/09,12
8/30/09,16
9/6/09,20
9/13/09,62
9/20/09,33
9/27/09,23
10/4/09,18
10/11/09,18
10/18/09,16
10/25/09,10
11/1/09,18
11/8/09,17
11/15/09,36
11/22/09,23
11/29/09,18
12/6/09,17
12/13/09,18
12/20/09,17
12/27/09,11
1/3/10,14
1/10/10,15
1/17/10,15
1/24/10,18
1/31/10,14
2/7/10,15
2/14/10,15
2/21/10,18
2/28/10,15
3/7/10,20
3/14/10,16
3/21/10,19
3/28/10,13
4/4/10,15
4/11/10,21
4/18/10,25
4/25/10,16
5/2/10,20
5/9/10,20
5/16/10,21
5/23/10,28
5/30/10,17
6/6/10,17
6/13/10,17
6/20/10,11
6/27/10,15
7/4/10,14
7/11/10,12
7/18/10,11
7/25/10,12
8/1/10,5
8/8/10,9
8/15/10,10
8/22/10,10
8/29/10,10
9/5/10,17
9/12/10,13
9/19/10,14
9/26/10,16
10/3/10,21
10/10/10,20
10/17/10,34
10/24/10,35
10/31/10,47
11/7/10,38
11/14/10,100
11/21/10,26
