location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Sunshine Duration
unit,°F,mm,%,min
level,2 m elevation corrected,sfc,2 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Sunshine Duration
20070101T0000,55.54444,0.5,74.879456,0.0
20070101T0100,56.17444,0.7,78.361946,0.0
20070101T0200,56.91244,0.6,81.75472,0.0
20070101T0300,56.60644,0.5,83.33311,0.0
20070101T0400,56.012444,0.9,89.276825,0.0
20070101T0500,55.38244,1.3,90.503914,0.0
20070101T0600,54.93244,1.9,90.12385,0.0
20070101T0700,54.60844,2.1,88.32034,0.0
20070101T0800,54.57244,1.2,87.37689,0.0
20070101T0900,54.230442,1.5,86.94849,2.1742423
20070101T1000,53.74444,2.2,87.214096,0.0
20070101T1100,53.276443,1.4,84.06325,15.757578
20070101T1200,52.484444,1.2,80.533646,0.0
20070101T1300,51.31444,0.0,73.68526,5.454544
20070101T1400,49.874443,0.0,68.55195,8.48485
20070101T1500,48.93844,0.0,70.152145,42.424244
20070101T1600,47.67844,0.0,71.81335,43.636364
20070101T1700,46.526443,0.0,73.02007,35.409294
20070101T1800,45.64444,0.0,75.13523,0.0
20070101T1900,44.45644,0.0,77.67802,0.0
20070101T2000,43.01644,0.0,81.223694,0.0
20070101T2100,41.792442,0.0,83.41477,0.0
20070101T2200,42.098442,0.0,84.574646,0.0
20070101T2300,42.83644,0.2,83.61221,0.0
20070102T0000,43.17844,0.9,82.81104,0.0
20070102T0100,42.008442,3.0,85.71895,0.0
20070102T0200,39.66844,2.7,93.423676,0.0
20070102T0300,41.75644,0.9,90.57716,0.0
20070102T0400,41.540443,0.9,88.47334,0.0
20070102T0500,41.37844,0.8,85.31083,0.0
20070102T0600,41.000443,0.4,84.01357,0.0
20070102T0700,41.01844,0.1,81.58145,0.0
20070102T0800,40.83844,0.2,80.45934,0.0
20070102T0900,40.28044,0.0,80.410576,14.824916
20070102T1000,40.74844,0.0,78.38945,26.666664
20070102T1100,40.694443,0.2,76.86834,42.424244
20070102T1200,40.874443,0.1,79.02614,30.90909
20070102T1300,41.14444,0.2,80.48598,23.636362
20070102T1400,40.47844,0.1,84.39749,34.545456
20070102T1500,40.19044,0.4,84.19489,11.515152
20070102T1600,39.326443,0.7,88.72727,5.454544
