New_Date,DATE,CPI_Score,CPI_Score_Norm
2007-01-01,01/01/2007,72.71,-0.9833610648918479
2007-02-01,01/02/2007,72.89,-0.9534109816971712
2007-03-01,01/03/2007,73.09,-0.9201331114808646
2007-04-01,01/04/2007,73.63,-0.8302828618968394
2007-05-01,01/05/2007,73.09,-0.9201331114808646
2007-06-01,01/06/2007,73.29,-0.8868552412645581
2007-07-01,01/07/2007,73.57,-0.8402662229617316
2007-08-01,01/08/2007,73.78,-0.8053244592346088
2007-09-01,01/09/2007,74.35,-0.7104825291181376
2007-10-01,01/10/2007,75.46,-0.5257903494176386
2007-11-01,01/11/2007,77.68,-0.15640599001663844
2007-12-01,01/12/2007,77.82,-0.1331114808652264
2008-01-01,01/01/2008,78.62,0.0
2008-02-01,01/02/2008,78.6,-0.0033277870216323153
2008-03-01,01/03/2008,79.66,0.17304492512479056
2008-04-01,01/04/2008,80.17,0.25790349417637204
2008-05-01,01/05/2008,82.13,0.5840266222961711
2008-06-01,01/06/2008,83.56,0.821963394342761
2008-07-01,01/07/2008,83.73,0.8502495840266214
2008-08-01,01/08/2008,82.92,0.7154742096505813
2008-09-01,01/09/2008,83.22,0.76539101497504
2008-10-01,01/10/2008,83.26,0.7720465890183023
2008-11-01,01/11/2008,81.34,0.45257903494176316
2008-12-01,01/12/2008,79.28,0.10981697171380965
2009-01-01,01/01/2009,78.97,0.05823627287853478
2009-02-01,01/02/2009,78.69,0.01164725457570601
2009-03-01,01/03/2009,77.35,-0.21131447587354563
2009-04-01,01/04/2009,75.63,-0.49750415973377815
2009-05-01,01/05/2009,74.36,-0.7088186356073214
2009-06-01,01/06/2009,75.23,-0.564059900166389
2009-07-01,01/07/2009,74.99,-0.6039933444259579
2009-08-01,01/08/2009,75.85,-0.4608985024958416
2009-09-01,01/09/2009,75.94,-0.44592346089850327
2009-10-01,01/10/2009,77.16,-0.24292845257903606
2009-11-01,01/11/2009,77.77,-0.14143094841930245
2009-12-01,01/12/2009,77.82,-0.1331114808652264
2010-01-01,01/01/2010,78.76,0.023294509151414386
2010-02-01,01/02/2010,78.7,0.013311148086522168
2010-03-01,01/03/2010,79.35,0.12146422628951567
2010-04-01,01/04/2010,81.68,0.5091514143094842
2010-05-01,01/05/2010,80.94,0.38602329450914996
2010-06-01,01/06/2010,80.74,0.35274542429284333
2010-07-01,01/07/2010,81.37,0.45757071547420924
2010-08-01,01/08/2010,81.85,0.5374376039933423
2010-09-01,01/09/2010,82.59,0.6605657237936765
2010-10-01,01/10/2010,84.38,0.958402662229615
2010-11-01,01/11/2010,84.54,0.9850249584026617
