,Date,Hits
0,2007-01-07,3
1,2007-01-14,1
2,2007-01-21,2
3,2007-01-28,4
4,2007-02-04,1
5,2007-02-11,2
6,2007-02-18,2
7,2007-02-25,3
8,2007-03-04,3
9,2007-03-11,3
10,2007-03-18,4
11,2007-03-25,2
12,2007-04-01,3
13,2007-04-08,3
14,2007-04-15,3
15,2007-04-22,3
16,2007-04-29,5
17,2007-05-06,3
18,2007-05-13,5
19,2007-05-20,16
20,2007-05-27,6
21,2007-06-03,6
22,2007-06-10,3
23,2007-06-17,4
24,2007-06-24,4
25,2007-07-01,3
26,2007-07-08,5
27,2007-07-15,6
28,2007-07-22,5
29,2007-07-29,4
30,2007-08-05,6
31,2007-08-12,3
32,2007-08-19,8
33,2007-08-26,5
34,2007-09-02,10
35,2007-09-09,11
36,2007-09-16,11
37,2007-09-23,41
38,2007-09-30,49
39,2007-10-07,37
40,2007-10-14,35
41,2007-10-21,100
42,2007-10-28,35
43,2007-11-04,24
44,2007-11-11,18
45,2007-11-18,19
46,2007-11-25,17
47,2007-12-02,13
48,2007-12-09,12
49,2007-12-16,10
50,2007-12-23,7
51,2007-12-30,7
52,2008-01-06,8
53,2008-01-13,9
54,2008-01-20,8
55,2008-01-27,9
56,2008-02-03,7
57,2008-02-10,7
58,2008-02-17,6
59,2008-02-24,6
60,2008-03-02,6
61,2008-03-09,6
62,2008-03-16,6
63,2008-03-23,8
64,2008-03-30,7
65,2008-04-06,10
66,2008-04-13,7
67,2008-04-20,8
68,2008-04-27,8
69,2008-05-04,7
70,2008-05-11,9
71,2008-05-18,9
72,2008-05-25,9
73,2008-06-01,7
74,2008-06-08,7
75,2008-06-15,6
76,2008-06-22,6
77,2008-06-29,7
78,2008-07-06,6
79,2008-07-13,4
80,2008-07-20,4
81,2008-07-27,5
82,2008-08-03,7
83,2008-08-10,2
84,2008-08-17,3
85,2008-08-24,6
86,2008-08-31,7
87,2008-09-07,7
88,2008-09-14,9
89,2008-09-21,9
90,2008-09-28,9
91,2008-10-05,9
92,2008-10-12,7
93,2008-10-19,12
94,2008-10-26,8
95,2008-11-02,8
96,2008-11-09,6
97,2008-11-16,8
98,2008-11-23,8
99,2008-11-30,7
100,2008-12-07,8
101,2008-12-14,6
102,2008-12-21,3
103,2008-12-28,3
104,2009-01-04,8
105,2009-01-11,8
106,2009-01-18,8
107,2009-01-25,8
108,2009-02-01,7
109,2009-02-08,8
110,2009-02-15,7
111,2009-02-22,9
112,2009-03-01,9
113,2009-03-08,8
114,2009-03-15,7
115,2009-03-22,7
116,2009-03-29,8
117,2009-04-05,7
118,2009-04-12,7
119,2009-04-19,11
120,2009-04-26,7
121,2009-05-03,10
122,2009-05-10,11
123,2009-05-17,7
124,2009-05-24,11
125,2009-05-31,7
126,2009-06-07,11
127,2009-06-14,12
128,2009-06-21,10
129,2009-06-28,8
130,2009-07-05,8
131,2009-07-12,9
132,2009-07-19,8
133,2009-07-26,7
134,2009-08-02,6
135,2009-08-09,5
136,2009-08-16,5
137,2009-08-23,6
138,2009-08-30,8
139,2009-09-06,8
140,2009-09-13,9
141,2009-09-20,9
142,2009-09-27,8
143,2009-10-04,10
144,2009-10-11,10
145,2009-10-18,10
146,2009-10-25,7
147,2009-11-01,8
148,2009-11-08,7
149,2009-11-15,8
150,2009-11-22,9
151,2009-11-29,9
152,2009-12-06,8
153,2009-12-13,7
154,2009-12-20,5
155,2009-12-27,4
156,2010-01-03,7
157,2010-01-10,8
158,2010-01-17,8
159,2010-01-24,8
160,2010-01-31,6
161,2010-02-07,7
162,2010-02-14,7
163,2010-02-21,7
164,2010-02-28,9
165,2010-03-07,8
166,2010-03-14,7
167,2010-03-21,8
168,2010-03-28,9
169,2010-04-04,8
170,2010-04-11,7
171,2010-04-18,7
172,2010-04-25,8
173,2010-05-02,16
174,2010-05-09,15
175,2010-05-16,14
176,2010-05-23,9
177,2010-05-30,10
178,2010-06-06,9
179,2010-06-13,10
180,2010-06-20,17
181,2010-06-27,11
182,2010-07-04,10
183,2010-07-11,8
184,2010-07-18,9
185,2010-07-25,6
186,2010-08-01,6
187,2010-08-08,7
188,2010-08-15,6
189,2010-08-22,9
190,2010-08-29,9
191,2010-09-05,9
192,2010-09-12,10
193,2010-09-19,10
194,2010-09-26,10
195,2010-10-03,10
196,2010-10-10,10
197,2010-10-17,9
198,2010-10-24,8
199,2010-10-31,10
200,2010-11-07,9
201,2010-11-14,10
202,2010-11-21,11
